Report Date,Area,District,Zone,Ward,Stake,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6
4/22/2018,LUODONG_A_E,YILAN,EAST,YILAN,EAST,1,0,0,0,0,0
4/22/2018,MUZHA_S,XINDIAN,SOUTH,MUZHA,SOUTH,1,0,0,0,0,0
4/22/2018,SANCHONG_S,SANCHONG,CENTRAL,SANCHONG,CENTRAL,1,0,0,0,0,0
4/22/2018,SHULIN_E,TUCHENG,WEST,TUCHENG,WEST,1,0,0,0,0,0
4/22/2018,TAOYUAN_2_S,TAOYUAN_B,TAOYUAN,TAOYUAN_2,TAOYUAN,1,0,0,0,0,0
4/22/2018,TUCHENG_E,TUCHENG,WEST,TUCHENG,WEST,0,0,0,0,1,0
4/22/2018,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,0,0,1,0,0,0
4/29/2018,BADE_A_E,BADE,TAOYUAN,BADE,TAOYUAN,0,0,0,0,1,0
4/29/2018,DANFENG_ZL,XINZHUANG,WEST,DANFENG,WEST,0,0,1,0,0,0
4/29/2018,HUALIAN_3_S,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,0,0,0,1,0,0
4/29/2018,LUODONG_A_E,YILAN,EAST,YILAN,EAST,1,0,0,0,0,0
4/29/2018,NEIHU_A_E,NEIHU,EAST,NEIHU,EAST,1,0,0,1,0,0
4/29/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,1,0,0,0,0,0
4/29/2018,XINAN_S,XINAN,CENTRAL,XINAN,CENTRAL,0,0,0,1,0,0
4/29/2018,XINPU_S,BANQIAO,WEST,XINPU,WEST,0,0,0,0,1,0
4/29/2018,XINZHU_1_S,XINZHU_B,XINZHU,XINZHU_1,HSINCHU,1,0,0,0,0,0
4/29/2018,ZHUBEI_3_E,ZHUBEI,XINZHU,ZHUBEI_3,HSINCHU,1,0,0,0,0,0
4/29/2018,ZHUNAN_E,ZHUNAN,XINZHU,ZHUNAN,HSINCHU,0,0,0,1,1,0
5/6/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
5/6/2018,GUISHAN_A_E,TAOYUAN_B,TAOYUAN,GUISHAN,TAOYUAN,0,0,0,1,0,0
5/6/2018,YULI_E,YULI,HUALIAN,YULI,HUALIAN,1,0,0,0,0,0
5/6/2018,ZHONGLI_1_A_E,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,1,0,0,0,0,0
5/6/2018,ZHUBEI_1_E,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,1,0,0,0,0,0
5/13/2018,BEITOU_E,BEITOU,NORTH,BEITOU,NORTH,0,0,1,0,0,0
5/13/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,0,0,0,1,0,0
5/13/2018,SANCHONG_S,SANCHONG,CENTRAL,SANCHONG,CENTRAL,0,2,0,0,0,0
5/13/2018,SHILIN_S,BEITOU,NORTH,SHILIN,NORTH,1,0,0,0,0,0
5/13/2018,TAOYUAN_1_E,TAOYUAN_A,TAOYUAN,TAOYUAN_1,TAOYUAN,1,0,0,0,0,0
5/13/2018,TAOYUAN_3_S,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,1,0,0,0,0,0
5/13/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,0,0,0,1,0,0
5/13/2018,TOUFEN_A_E,ZHUNAN,XINZHU,TOUFEN,HSINCHU,1,0,0,0,0,0
5/13/2018,TOUFEN_B_E,ZHUNAN,XINZHU,TOUFEN,HSINCHU,1,0,0,0,0,0
5/13/2018,TUCHENG_E,TUCHENG,WEST,TUCHENG,WEST,0,0,1,0,0,0
5/13/2018,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,1,0,0,0,0,0
5/13/2018,YILAN_A_S,YILAN,EAST,YILAN,EAST,0,0,0,0,1,0
5/13/2018,YONGHE_S,SHUANGHE,SOUTH,YONGHE,SOUTH,1,0,0,0,0,0
5/20/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,2,0,0,0,0,0
5/20/2018,JILONG_A_E,JILONG,EAST,JILONG,EAST,0,0,0,0,1,0
5/20/2018,SHILIN_S,BEITOU,NORTH,SHILIN,NORTH,0,0,0,1,0,0
5/20/2018,TAIDONG_1_S,TAIDONG_A,HUALIAN,TAIDONG_1,HUALIAN,1,0,0,0,0,0
5/20/2018,TIANMU_A_E,BEITOU,NORTH,TIANMU,NORTH,1,0,0,0,0,0
5/20/2018,XINBAN_E,BANQIAO,WEST,XINBAN,WEST,0,0,0,1,0,0
5/20/2018,ZHONGLI_1_S,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,1,0,0,0,0,0
5/20/2018,ZHONGLI_2_A_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,1,0,0,0,0,0
5/27/2018,DANSHUI_ZL,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
5/27/2018,JINHUA_ZL,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
5/27/2018,TAIDONG_2_S,TAIDONG_A,HUALIAN,TAIDONG_2,HUALIAN,1,0,0,0,0,0
5/27/2018,TOUFEN_B_E,ZHUNAN,XINZHU,TOUFEN,HSINCHU,1,0,0,0,0,0
5/27/2018,XINPU_S,BANQIAO,WEST,XINPU,WEST,0,0,0,0,1,0
5/27/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,2,0,0,0,0,0
5/27/2018,ZHUBEI_1_E,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,1,0,0,0,0,0
6/3/2018,HUALIAN_2_E,HUALIAN_A,HUALIAN,HUALIAN_2,HUALIAN,1,0,0,0,0,0
6/3/2018,LUZHOU_B_E,SANCHONG,CENTRAL,LUZHOU,CENTRAL,0,0,0,0,1,0
6/3/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,0,0,0,1,0,0
6/3/2018,ZHUDONG_E,XINZHU_A,XINZHU,ZHUDONG,HSINCHU,0,0,0,1,0,0
6/3/2018,HUALIAN_2_E,HUALIAN_A,HUALIAN,HUALIAN_2,HUALIAN,1,0,0,0,0,0
6/3/2018,LUZHOU_B_E,SANCHONG,CENTRAL,LUZHOU,CENTRAL,0,0,0,0,1,0
6/3/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,0,0,0,1,0,0
6/3/2018,ZHUDONG_E,XINZHU_A,XINZHU,ZHUDONG,HSINCHU,0,0,0,1,0,0
6/10/2018,MUZHA_A_E,XINDIAN,SOUTH,MUZHA,SOUTH,1,0,0,0,0,0
6/10/2018,WANDA_E,JINHUA,CENTRAL,WANDA,CENTRAL,1,0,0,0,0,0
6/10/2018,XINZHU_3_ZL,XINZHU_A,XINZHU,XINZHU_3,HSINCHU,0,0,0,1,0,0
6/10/2018,ZHUBEI_2_S,ZHUBEI,XINZHU,ZHUBEI_2,HSINCHU,0,0,0,1,0,0
6/17/2018,ANKANG_E,XINDIAN,SOUTH,ANKANG,SOUTH,0,0,0,1,0,0
6/17/2018,HUALIAN_1_E,HUALIAN_A,HUALIAN,HUALIAN_1,HUALIAN,0,1,0,0,0,0
6/17/2018,JILONG_ZL,JILONG,EAST,JILONG,EAST,1,0,0,0,0,0
6/17/2018,LINKOU_E,XINZHUANG,WEST,DANFENG,WEST,0,0,0,0,2,0
6/17/2018,LUODONG_A_E,YILAN,EAST,YILAN,EAST,1,0,0,0,0,0
6/17/2018,SONGSHAN_S,SONGSHAN,EAST,SONGSHAN,EAST,1,0,0,0,0,0
6/17/2018,TAIDONG_3_A_E,TAIDONG_A,HUALIAN,TAIDONG_3,HUALIAN,0,0,0,2,0,0
6/17/2018,TAOYUAN_3_S,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,0,0,0,1,0,0
6/17/2018,XINZHU_3_ZL,XINZHU_A,XINZHU,XINZHU_3,HSINCHU,0,0,0,1,0,0
6/24/2018,ASSISTANTS,XINAN,CENTRAL,XINAN,CENTRAL,0,0,0,1,0,0
6/24/2018,GUISHAN_A_E,TAOYUAN_B,TAOYUAN,GUISHAN,TAOYUAN,0,0,0,1,0,0
6/24/2018,GUISHAN_S,TAOYUAN_B,TAOYUAN,GUISHAN,TAOYUAN,1,0,0,0,0,0
6/24/2018,JILONG_ZL,JILONG,EAST,JILONG,EAST,1,0,0,0,0,0
6/24/2018,LONGTAN_A_E,BADE,TAOYUAN,LONGTAN,TAOYUAN,0,0,0,0,1,0
6/24/2018,NEIHU_A_E,SONGSHAN,EAST,NEIHU,EAST,1,0,0,0,0,0
6/24/2018,TAOYUAN_2_S,TAOYUAN_B,TAOYUAN,TAOYUAN_2,TAOYUAN,1,0,0,0,0,0
6/24/2018,TAOYUAN_3_S,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,1,0,0,0,0,0
6/24/2018,TAOYUAN_3_ZL,TAOYUAN_A,TAOYUAN,TAOYUAN_3,TAOYUAN,0,0,1,0,0,0
6/24/2018,TAOYUAN_4_E,TAOYUAN_A,TAOYUAN,TAOYUAN_4,TAOYUAN,0,0,1,0,0,0
6/24/2018,TOUFEN_B_E,ZHUNAN,XINZHU,TOUFEN,HSINCHU,1,0,0,0,0,0
6/24/2018,XINAN_S,XINAN,CENTRAL,XINAN,CENTRAL,0,0,1,0,0,0
6/24/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,0,0,0,1,0,0
6/24/2018,ZHUBEI_1_E,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,0,0,0,1,0,0
7/1/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
7/1/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,1,0,0,0,0,0
7/1/2018,SHILIN_S,BEITOU,NORTH,SHILIN,NORTH,1,0,0,0,0,0
7/1/2018,XINBAN_E,BANQIAO,WEST,XINBAN,WEST,0,0,0,1,0,0
7/8/2018,BADE_A_E,BADE,TAOYUAN,BADE,TAOYUAN,0,0,0,1,0,0
7/8/2018,HUALIAN_3_E,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,0,0,0,3,0,0
7/8/2018,SHILIN_S,BEITOU,NORTH,SHILIN,NORTH,0,0,0,0,2,0
7/8/2018,XIZHI_A_E,XIZHI,EAST,XIZHI,EAST,1,0,1,0,0,0
7/8/2018,ZHONGHE_1_E,SHUANGHE,SOUTH,ZHONGHE_1,SOUTH,1,0,0,0,0,0
7/22/2018,LUODONG_A_E,YILAN,EAST,YILAN,EAST,0,0,0,0,1,0
7/22/2018,XIANGSHAN_A_E,XINZHU_B,XINZHU,XIANGSHAN,HSINCHU,1,0,0,0,0,0
7/22/2018,YONGHE_S,SHUANGHE,SOUTH,YONGHE,SOUTH,0,0,0,1,0,0
7/22/2018,ZHONGLI_2_A_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,1,0,0,1,0,0
7/29/2018,BADE_A_E,BADE,TAOYUAN,BADE,TAOYUAN,0,0,0,0,1,0
7/29/2018,DANFENG_ZL,XINZHUANG,WEST,DANFENG,WEST,1,0,0,0,0,0
7/29/2018,HUALIAN_2_E,HUALIAN_A,HUALIAN,HUALIAN_2,HUALIAN,1,0,0,0,0,0
7/29/2018,HUALIAN_3_E,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,1,0,0,0,0,0
7/29/2018,JINHUA_ZL,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
7/29/2018,LINKOU_E,XINZHUANG,WEST,DANFENG,WEST,3,0,0,0,0,0
7/29/2018,LONGTAN_A_E,BADE,TAOYUAN,LONGTAN,TAOYUAN,1,0,0,0,0,0
7/29/2018,LUODONG_A_E,YILAN,EAST,YILAN,EAST,0,0,1,0,0,0
7/29/2018,TUCHENG_E,TUCHENG,WEST,TUCHENG,WEST,0,2,0,0,0,0
7/29/2018,XINZHU_3_ZL,XINZHU_A,XINZHU,XINZHU_3,HSINCHU,0,0,0,1,0,0
7/29/2018,ZHUBEI_1_E,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,1,0,0,0,0,0
8/5/2018,JILONG_ZL,JILONG,EAST,JILONG,EAST,0,0,1,0,0,0
8/5/2018,TAIDONG_3_A_E,TAIDONG_A,HUALIAN,TAIDONG_3,HUALIAN,1,0,1,0,0,0
8/5/2018,TAOYUAN_1_E,TAOYUAN_A,TAOYUAN,TAOYUAN_1,TAOYUAN,0,2,0,0,0,0
8/5/2018,TAOYUAN_2_S,TAOYUAN_B,TAOYUAN,TAOYUAN_2,TAOYUAN,0,0,1,0,0,0
8/5/2018,ZHONGLI_1_A_E,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,1,0,0,0,0,0
8/12/2018,HUALIAN_3_E,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,0,0,0,1,0,0
8/12/2018,JINHUA_S,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
8/12/2018,JINHUA_ZL,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
8/12/2018,SANXIA_B_E,TUCHENG,WEST,SANXIA,WEST,1,0,0,0,0,0
8/12/2018,SONGSHAN_S,SONGSHAN,EAST,SONGSHAN,EAST,1,0,0,0,0,0
8/12/2018,TAIDONG_1_S,TAIDONG_A,HUALIAN,TAIDONG_1,HUALIAN,1,0,0,0,0,0
8/12/2018,XINPU_S,BANQIAO,WEST,XINPU,WEST,0,0,0,0,2,0
8/19/2018,HUALIAN_3_S,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,1,0,0,0,0,0
8/19/2018,MIAOLI_S,MIAOLI,XINZHU,MIAOLI,HSINCHU,1,0,0,0,0,0
8/19/2018,NEIHU_A_E,SONGSHAN,EAST,NEIHU,EAST,1,0,0,0,0,0
8/19/2018,TAOYUAN_1_E,TAOYUAN_A,TAOYUAN,TAOYUAN_1,TAOYUAN,0,0,0,1,0,0
8/19/2018,XINDIAN_E,XINDIAN,SOUTH,XINDIAN,SOUTH,2,0,0,0,0,0
8/19/2018,ZHUBEI_1_E,ZHUBEI,XINZHU,ZHUBEI_1,HSINCHU,1,0,0,0,0,0
8/19/2018,ZHUBEI_2_S,ZHUBEI,XINZHU,ZHUBEI_2,HSINCHU,1,0,0,0,0,0
9/2/2018,DANSHUI_S,DANSHUI,NORTH,DANSHUI,NORTH,0,0,0,0,1,0
9/2/2018,DANSHUI_ZL,DANSHUI,NORTH,DANSHUI,NORTH,0,0,0,0,1,0
9/2/2018,GUISHAN_A_E,TAOYUAN_B,TAOYUAN,GUISHAN,TAOYUAN,0,0,0,1,0,0
9/2/2018,HUALIAN_3_S,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,0,1,0,0,0,0
9/2/2018,JINHUA_ZL,JINHUA,CENTRAL,JINHUA,CENTRAL,1,0,0,0,0,0
9/2/2018,TAIDONG_2_S,TAIDONG_A,HUALIAN,TAIDONG_2,HUALIAN,1,0,0,0,0,0
9/2/2018,TAOYUAN_1_E,TAOYUAN_A,TAOYUAN,TAOYUAN_1,TAOYUAN,0,1,0,0,0,0
9/2/2018,XINPU_S,BANQIAO,WEST,XINPU,WEST,0,0,0,1,0,0
9/2/2018,ZHONGLI_1_A_E,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,0,0,1,0,0,0
9/9/2018,ENGLISH_E,XINAN,CENTRAL,XINAN,CENTRAL,0,0,0,1,0,0
9/9/2018,TAIDONG_3_A_E,TAIDONG_A,HUALIAN,TAIDONG_3,HUALIAN,0,0,1,0,0,0
9/9/2018,TIANMU_A_E,BEITOU,NORTH,TIANMU,NORTH,0,0,0,1,0,0
9/9/2018,XINBAN_E,BANQIAO,WEST,XINBAN,WEST,0,0,0,1,0,0
9/9/2018,XINDIAN_E,XINDIAN,SOUTH,XINDIAN,SOUTH,0,0,0,0,1,0
9/9/2018,YILAN_A_S,YILAN,EAST,YILAN,EAST,0,0,0,1,0,0
9/9/2018,ZHUBEI_2_S,ZHUBEI,XINZHU,ZHUBEI_2,HSINCHU,0,0,0,0,1,0
9/16/2018,DANSHUI_B_E,DANSHUI,NORTH,DANSHUI,NORTH,1,0,0,0,0,0
9/16/2018,LONGTAN_A_E,BADE,TAOYUAN,LONGTAN,TAOYUAN,0,0,0,0,1,0
9/16/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,2,0,0,0,0,0
9/16/2018,TAIDONG_2_ZL,TAIDONG_A,HUALIAN,TAIDONG_2,HUALIAN,1,0,0,0,0,0
9/16/2018,ZHONGLI_1_S,ZHONGLI,TAOYUAN,ZHONGLI_1,TAOYUAN,1,0,0,0,0,0
9/23/2018,HUALIAN_3_E,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,1,0,0,0,0,0
9/23/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,1,0,0,0,0,0
9/23/2018,NEIHU_A_E,SONGSHAN,EAST,NEIHU,EAST,0,0,0,0,1,0
9/23/2018,ZHONGHE_1_E,SHUANGHE,SOUTH,ZHONGHE_1,SOUTH,1,0,0,0,0,0
9/23/2018,ZHONGHE_2_E,SHUANGHE,SOUTH,ZHONGHE_2,SOUTH,0,0,0,0,1,0
9/23/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,1,0,0,0,0,0
9/23/2018,HUALIAN_3_E,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,1,0,0,0,0,0
9/23/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,1,0,0,0,0,0
9/23/2018,NEIHU_A_E,SONGSHAN,EAST,NEIHU,EAST,0,0,0,0,1,0
9/23/2018,ZHONGHE_1_E,SHUANGHE,SOUTH,ZHONGHE_1,SOUTH,1,0,0,0,0,0
9/23/2018,ZHONGHE_2_E,SHUANGHE,SOUTH,ZHONGHE_2,SOUTH,0,0,0,0,1,0
9/23/2018,ZHONGLI_2_B_E,ZHONGLI,TAOYUAN,ZHONGLI_2,TAOYUAN,1,0,0,0,0,0
9/30/2018,HUALIAN_3_E,HUALIAN_B,HUALIAN,HUALIAN_3,HUALIAN,1,0,0,0,0,0
9/30/2018,MIAOLI_E,MIAOLI,XINZHU,MIAOLI,HSINCHU,1,0,0,0,0,0
9/30/2018,NEIHU_A_E,SONGSHAN,EAST,NEIHU,EAST,0,0,0,0,1,0
9/30/2018,ZHONGHE_1_E,SHUANGHE,SOUTH,ZHONGHE_1,SOUTH,1,0,0,0,0,0
